Car_model, Car_version,Price(Rs),DIMENSIONS_Length(mm),DIMENSIONS_Width(mm),DIMENSIONS_Height(mm),DIMENSIONS_Wheelbase(mm), DIMENSIONS_Ground Clearance(mm),DIMENSIONS_Kerb Weight(kg),DIMENSIONS_Boot Capacity(litres),ENGINE/MOTOR_Fuel Type Propulsion,ENGINE/MOTOR_Engine Installation,ENGINE/MOTOR_Engine Displacement(cc),ENGINE/MOTOR_Engine Type,ENGINE/MOTOR_Max Engine Power,ENGINE/MOTOR_Max Engine Torque,TRANSMISSION_Drive Layout,TRANSMISSION_Gearbox Type,TRANSMISSION_Number Of Gears,TRANSMISSION_Selectable Differential Lock,FUEL ECONOMY/RANGE_Fuel Tank Capacity,FUEL ECONOMY/RANGE_Official Fuel Economy(KPL),SUSPENSION_Front Suspension Type,SUSPENSION_Front Springs,SUSPENSION_Rear Suspension Type,SUSPENSION_Rear Springs,SUSPENSION_Damper Control,SUSPENSION_Ride Height Adjust,STEERING_Type Of Power Assist,STEERING_Steering Adjust,STEERING_Steering Adjust Type,STEERING_Turning Radius(m),WHEELS AND TYRES_Wheels,WHEELS AND TYRES_Wheel Size,WHEELS AND TYRES_Front Tyre Size,WHEELS AND TYRES_Rear Tyre Size,WHEELS AND TYRES_Spare Wheel,BRAKES_Front Brakes,BRAKES_Rear Brakes,SAFETY_Airbags,SAFETY_Anti Lock Brakes Abs,SAFETY_Electronic Parking Brake,SAFETY_Hill Start Assist,SAFETY_Hill Descent Control,SAFETY_Anti Pinch Power Windows,SAFETY_Central Locking,SAFETY_Speed Sensing Auto Door Locks,SAFETY_Child Safety Lock,SAFETY_Isofix Child Seat Mounts,SAFETY_Automatic Headlamps,SAFETY_Automatic Wipers,SAFETY_Rear Washer Wiper,SAFETY_Rear Defogger,SAFETY_Day Night Interior Mirror,SAFETY_Parking Sensors,SAFETY_Parking Camera,SAFETY_Tyre Pressure Monitoring System,SAFETY_Blind Spot Monitor,SAFETY_Adaptive Cruise Control,EXTERIOR_Body Coloured Bumpers,EXTERIOR_Projector Headlamps,EXTERIOR_Headlight Type,EXTERIOR_Daytime Running Lights,EXTERIOR_Front Fog Lamps,SEATS AND UPHOLSTERY_Seats,SEATS AND UPHOLSTERY_Leather Wrapped Steering Wheel,SEATS AND UPHOLSTERY_Leather Wrapped Gear Knob,SEATS AND UPHOLSTERY_Drivers Seat Height Adjust,SEATS AND UPHOLSTERY_Electric Adjust For Drivers Seat,SEATS AND UPHOLSTERY_Drivers Seat Memory,SEATS AND UPHOLSTERY_Front Passenger Seat Height Adjust,SEATS AND UPHOLSTERY_Electric Adjust For Front Passenger Seat,SEATS AND UPHOLSTERY_Front Passenger Seat Memory,SEATS AND UPHOLSTERY_Adjustable Front Headrests,SEATS AND UPHOLSTERY_Ventilated Seats,SEATS AND UPHOLSTERY_Heated Seats,SEATS AND UPHOLSTERY_Massage Seats,SEATS AND UPHOLSTERY_Front Seat Armrest,SEATS AND UPHOLSTERY_Rear Seat Armrest,SEATS AND UPHOLSTERY_Adjustable Rear Headrests,SEATS AND UPHOLSTERY_Individual Chairs At Rear,SEATS AND UPHOLSTERY_Rear Seat Backrest Recline,SEATS AND UPHOLSTERY_Rear Seat Backrest Fold,SEATS AND UPHOLSTERY_Rear Seat Backrest Split,SEATS AND UPHOLSTERY_Third Row Seats,INFOTAINMENT_Audio System,INFOTAINMENT_Cd Player,INFOTAINMENT_Usb Input,INFOTAINMENT_Aux Input,INFOTAINMENT_Bluetooth Audio Streaming,INFOTAINMENT_Bluetooth Telephone Function,INFOTAINMENT_Steering Audio Controls,INFOTAINMENT_Steering Phone Controls,INFOTAINMENT_Wireless Phone Charging,INFOTAINMENT_Display,INFOTAINMENT_Android Auto,INFOTAINMENT_Apple Carplay,INFOTAINMENT_Satellite Navigation,INFOTAINMENT_Voice Coands,INFOTAINMENT_Gesture Controls,INFOTAINMENT_Touchpad,INFOTAINMENT_Rear Entertainment Screens,COMFORT AND CONVENIENCE_Power Windows,COMFORT AND CONVENIENCE_Power Windows With One Touch Down,COMFORT AND CONVENIENCE_Power Windows With One Touch Up,COMFORT AND CONVENIENCE_Exterior Mirrors Electric Adjust,COMFORT AND CONVENIENCE_Exterior Mirrors Electric Fold,COMFORT AND CONVENIENCE_Remote Locking,COMFORT AND CONVENIENCE_Keyless Entry,COMFORT AND CONVENIENCE_Push Button Start,COMFORT AND CONVENIENCE_Climate Control,COMFORT AND CONVENIENCE_Rear Ac Vents,COMFORT AND CONVENIENCE_Third Row Ac Vents,COMFORT AND CONVENIENCE_Front Passenger Seat Adjust From Rear,COMFORT AND CONVENIENCE_Rear Window Sun Shades,COMFORT AND CONVENIENCE_Rear Windscreen Sun Shade,COMFORT AND CONVENIENCE_Rear Power Outlet,COMFORT AND CONVENIENCE_Sunroof,COMFORT AND CONVENIENCE_Configurable Ambient Lighting,COMFORT AND CONVENIENCE_Driving Modes,COMFORT AND CONVENIENCE_Cruise Control,COMFORT AND CONVENIENCE_Auto Parking,COMFORT AND CONVENIENCE_Launch Control,COMFORT AND CONVENIENCE_Dead Pedal,COMFORT AND CONVENIENCE_Hands Free Boot Opening,INSTRUMENTATION_Speedometer,INSTRUMENTATION_Tachometer,INSTRUMENTATION_Trip Meter,INSTRUMENTATION_Average Fuel Consumption,INSTRUMENTATION_Distance To Empty,INSTRUMENTATION_Low Fuel Level Warning,INSTRUMENTATION_Gear Indicator,INSTRUMENTATION_Shift Indicator,INSTRUMENTATION_Head Up Display,FUEL ECONOMY/RANGE_Auto Start Stop,ENGINE/MOTOR_Motor Type,ENGINE/MOTOR_Max Motor Power,ENGINE/MOTOR_Max Motor Torque,FUEL ECONOMY/RANGE_Battery Capacity,FUEL ECONOMY/RANGE_Claimed Range,FUEL ECONOMY/RANGE_Charging Time,SAFETY_Electronic Brakeforce Distribution Ebd,SAFETY_Brake Assist Ba,SAFETY_Traction Control,SAFETY_Electronic Stability Control,INFOTAINMENT_Mirrorlink,INFOTAINMENT_Web Browser,INFOTAINMENT_Video Player,INSTRUMENTATION_Average Speed,INSTRUMENTATION_Instantaneous Consumption,TRANSMISSION_Sport Mode Automatic Gearbox,TRANSMISSION_Manual Shifts Via Gear Lever Automatic Gearbox,TRANSMISSION_Paddle Shifters Automatic Gearbox,PERFORMANCE AS TESTED_Performance 0 to 100 kph,PERFORMANCE AS TESTED_Performance 20 to 80 kph Third Gear Kickdown,PERFORMANCE AS TESTED_Performance 40 to 100 kph Fourth Gear Kickdown,FUEL ECONOMY/RANGE_City Fuel Economy Tested,FUEL ECONOMY/RANGE_Highway Fuel Economy Tested,ENGINE/MOTOR_Combined Max Power,SEATS AND UPHOLSTERY_Third Row Seats Fold,SEATS AND UPHOLSTERY_Third Row Seats Split,FUEL ECONOMY/RANGE_Cng Lpg Tank Capacity,ENGINE/MOTOR_Combined Max Torque,ENGINE/MOTOR_Max Engine Power Cng,ENGINE/MOTOR_Max Engine Torque Cng
Hyundai i20, 1.2 Kappa Sportz  ,917000,3995,1775,1505,2580,170,,311,Petrol,Front,1197,4 cyls,83hp at 6000rpm,115Nm at 4200rpm,Front-Wheel Drive,Manual,5,NO,37,20.35,"Independent, MacPherson Strut",Coil Springs,"Non-independent, Torsion Beam",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Steel Rims with Wheel Covers,16-inches,195/55 R16,195/55 R16,Space-saver,Disc,Drums,2,1,0,0,0,0,1,1,1,0,1,0,0,1,Manual,Rear,Rear,1,0,0,1,0,Halogen,LED,1,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,0,0,No,No,1,0,0,1,0,1,0,1,1,1,1,0,8-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Driver's Window Only,No,1,1,1,0,0,Manual,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Digital,Digital,1,1,1,1,0,1,0,NO,,,,,,,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,
Hyundai i20, 1.2 Kappa Sportz CVT  ,1031000,3995,1775,1505,2580,170,,311,Petrol,Front,1197,4 cyls,88hp at 6000rpm,115Nm at 4200rpm,Front-Wheel Drive,CVT Auto,,NO,37,19.65,"Independent, MacPherson Strut",Coil Springs,"Non-independent, Torsion Beam",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Steel Rims with Wheel Covers,16-inches,195/55 R16,195/55 R16,Space-saver,Disc,Drums,2,1,0,0,0,0,1,1,1,0,1,0,0,1,Manual,Rear,Rear,1,0,0,1,0,Halogen,LED,1,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,0,0,No,No,1,0,0,1,0,1,0,1,1,1,1,0,8-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Driver's Window Only,No,1,1,1,0,0,Manual,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Digital,Digital,1,1,1,1,1,0,0,NO,,,,,,,1,0,0,0,0,0,1,1,1,YES,YES,NO,,,,,,,,,,,,
Hyundai i20, 1.2 Kappa Sportz Dual Tone  ,879000,3995,1775,1505,2580,170,,311,Petrol,Front,1197,4 cyls,83hp at 6000rpm,115Nm at 4200rpm,Front-Wheel Drive,Manual,5,NO,37,20.35,"Independent, MacPherson Strut",Coil Springs,"Non-independent, Torsion Beam",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Steel Rims with Wheel Covers,16-inches,195/55 R16,195/55 R16,Space-saver,Disc,Drums,2,1,0,0,0,0,1,1,1,0,1,0,0,1,Manual,Rear,Rear,1,0,0,1,0,Halogen,LED,1,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,0,0,No,No,1,0,0,1,0,1,0,1,1,1,1,0,8-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Driver's Window Only,No,1,1,1,0,0,Manual,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Digital,Digital,1,1,1,1,0,1,0,NO,,,,,,,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,
Hyundai i20, 1.2 Kappa Sportz Dual Tone CVT  ,991000,3995,1775,1505,2580,170,,311,Petrol,Front,1197,4 cyls,88hp at 6000rpm,115Nm at 4200rpm,Front-Wheel Drive,CVT Auto,,NO,37,19.65,"Independent, MacPherson Strut",Coil Springs,"Non-independent, Torsion Beam",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Steel Rims with Wheel Covers,16-inches,195/55 R16,195/55 R16,Space-saver,Disc,Drums,2,1,0,0,0,0,1,1,1,0,1,0,0,1,Manual,Rear,Rear,1,0,0,1,0,Halogen,LED,1,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,0,0,No,No,1,0,0,1,0,1,0,1,1,1,1,0,8-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Driver's Window Only,No,1,1,1,0,0,Manual,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Digital,Digital,1,1,1,1,1,0,0,NO,,,,,,,1,0,0,0,0,0,1,1,1,YES,YES,NO,,,,,,,,,,,,
Isuzu D-Max V-Cross, 4x4 High (Z)  ,2147000,5295,1860,1855,3095,223,1945,,Diesel,Front,2499,"4 cyls, Turbocharged",136hp at 3600rpm,320Nm at 1800-2800rpm,Four-Wheel Drive,Manual,5,NO,76,12.4,"Independent, Double Wishbone",Coil Springs,"Non-independent, Rigid Axle",Leaf Springs,NO,NO,Hydraulic,Tilt,Manual,6.3,Alloys,18-inches,255/60 R18,255/60 R18,Full-size,Discs,Drums,2,1,0,1,1,0,1,1,1,1,0,0,0,1,Manual,No,Rear,0,0,0,1,1,LED,LED,1,Leatherette,0,0,1,1,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,1,1,1,1,1,1,1,0,7-inch Touchscreen,0,0,No,0,0,0,0,Front and Rear,Driver's Window Only,Driver's Window Only,1,1,1,1,1,Auto 1-zone,0,0,0,0,0,1,No,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,1,0,NO,,,,,,,1,1,1,1,0,0,0,1,1,,,,14.77 s,12.24 s,14.91 s,,,,,,,,,
Isuzu D-Max V-Cross, 4x4 High+ (Z Prestige)  ,2374000,5295,1860,1855,3095,223,1935,,Diesel,Front,1898,"4 cyls, Turbocharged",150hp at 3600rpm,350Nm at 1800-2600rpm,Four-Wheel Drive,Torque Converter Auto,6,NO,76,,"Independent, Double Wishbone",Coil Springs,"Non-independent, Rigid Axle",Leaf Springs,NO,NO,Hydraulic,Tilt,Manual,6.3,Alloys,18-inches,255/60 R18,255/60 R18,Full-size,Discs,Drums,6,1,0,1,1,0,1,1,1,1,0,0,0,1,Manual,No,Rear,0,0,0,0,1,LED,LED,1,Leatherette,0,0,1,1,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,1,1,1,1,1,1,1,0,7-inch Touchscreen,0,0,No,0,0,0,0,Front and Rear,Driver's Window Only,Driver's Window Only,1,1,1,1,1,Auto 1-zone,0,0,0,0,0,1,No,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,NO,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,,,,,,,,,,,,
Isuzu D-Max V-Cross, 4x4 Standard  ,1968000,5295,1860,1855,3095,223,1935,,Diesel,Front,2499,"4 cyls, Turbocharged",136hp at 3600rpm,320Nm at 1800-2800rpm,Four-Wheel Drive,Manual,5,NO,76,12.4,"Independent, Double Wishbone",Coil Springs,"Non-independent, Rigid Axle",Leaf Springs,NO,NO,Hydraulic,Tilt,Manual,6.3,Alloys,18-inches,255/60 R18,255/60 R18,Full-size,Discs,Drums,2,1,0,0,0,0,1,1,1,1,0,0,0,1,Manual,No,Rear,0,0,0,1,1,LED,LED,1,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,1,1,1,1,1,1,1,0,7-inch Touchscreen,0,0,No,0,0,0,0,Front and Rear,Driver's Window Only,Driver's Window Only,1,1,1,1,1,Auto 1-zone,0,0,0,0,0,1,No,0,0,0,0,0,1,0,Analog,Analog,1,1,1,1,1,1,0,NO,,,,,,,1,1,0,0,0,0,0,1,1,,,,14.77 s,12.24 s,14.91 s,,,,,,,,,
Isuzu MU-X, 4x2 AT  ,3936000,4825,1860,1860,2845,230,,235,Diesel,Front,2999,"4 cyls, Turbocharged",177hp at 3600rpm,380Nm at 1800-2800rpm,Rear-Wheel Drive,Torque Converter Auto,5,NO,65,13.8,"Independent, Double Wishbone",Coil Springs,"Non-independent, 5-link",Coil Springs,NO,NO,Hydraulic,Tilt,Manual,5.8,Alloys,18-inches,255/60 R18,255/60 R18,Full-size,Discs,Discs,6,1,0,1,1,0,1,1,1,1,0,0,1,1,Manual,Rear,Rear,0,0,0,1,1,LED,LED,1,Leatherette,1,0,1,1,0,0,0,0,1,No,No,No,1,1,1,No,Manual,1,1,1,1,1,1,1,1,1,1,1,0,7-inch Touchscreen,0,0,No,0,0,0,0,Front and Rear,Driver's Window Only,Driver's Window Only,1,1,1,1,1,Auto 1-zone,1,1,0,0,0,1,No,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,NO,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,,,,,,,1,1,,,,
Isuzu MU-X, 4x4 AT  ,4168000,4825,1860,1860,2845,230,,235,Diesel,Front,2999,"4 cyls, Turbocharged",177hp at 3600rpm,380Nm at 1800-2800rpm,Four-Wheel Drive,Torque Converter Auto,5,NO,65,,"Independent, Double Wishbone",Coil Springs,"Non-independent, 5-link",Coil Springs,NO,NO,Hydraulic,Tilt,Manual,5.8,Alloys,18-inches,255/60 R18,255/60 R18,Full-size,Discs,Discs,6,1,0,1,1,0,1,1,1,1,0,0,1,1,Manual,Rear,Rear,0,0,0,1,1,LED,LED,1,Leatherette,1,0,1,1,0,0,0,0,1,No,No,No,1,1,1,No,Manual,1,1,1,1,1,1,1,1,1,1,1,0,7-inch Touchscreen,0,0,No,0,0,0,0,Front and Rear,Driver's Window Only,Driver's Window Only,1,1,1,1,1,Auto 1-zone,1,1,0,0,0,1,No,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,NO,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,12.57 s,7.3 s,9.54 s,,,,1,1,,,,
Jeep Compass, 1.4 Petrol Limited (O) DCT  ,2705000,4405,1818,1640,2636,208,1553,438,Petrol,Front,1368,"4 cyls, Turbocharged",163hp at 5500rpm,250Nm at 2500-4000rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,60,13.8,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,6,1,1,1,0,,1,1,1,1,1,1,1,1,Auto,Rear,Rear,0,0,0,1,0,LED,LED,1,Leather,1,1,1,1,1,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,,,,,,,,,,,,
Jeep Compass, 1.4 Petrol Longitude (O) DCT  ,2474000,4405,1818,1640,2636,208,1553,438,Petrol,Front,1368,"4 cyls, Turbocharged",163hp at 5500rpm,250Nm at 2500-4000rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,60,13.8,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,17-inches,225/60 R17,225/60 R17,Space-saver,Disc,Discs,2,1,1,1,0,,1,1,1,1,1,0,1,1,Manual,Rear,Rear,0,0,0,1,0,LED,LED,1,Vinyl,0,0,1,0,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,,,,,,,,,,,,
Jeep Compass, 1.4 Petrol Model S (O) DCT  ,2936000,4405,1818,1640,2636,208,1553,438,Petrol,Front,1368,"4 cyls, Turbocharged",163hp at 5500rpm,250Nm at 2500-4000rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,60,13.8,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,6,1,1,1,0,,1,1,1,1,1,1,1,1,Auto,Rear,360-degree,1,0,0,1,1,LED,LED,1,Leather,1,1,1,1,1,1,1,0,1,Front,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,1,10.1-inch Touchscreen,1,1,Onboard,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,0,1,0,0,1,0,Digital,Digital,1,1,1,1,1,0,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,,,,,,,,,,,,
Jeep Compass, 1.4 Petrol Sport  ,1977000,4405,1818,1640,2636,208,,438,Petrol,Front,1368,"4 cyls, Turbocharged",163hp at 5500rpm,250Nm at 2500-4000rpm,Front-Wheel Drive,Manual,6,NO,60,,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,17-inches,225/60 R17,225/60 R17,Space-saver,Disc,Discs,2,1,1,1,0,,1,1,1,1,0,0,1,1,Manual,Rear,Rear,0,0,0,1,0,LED,LED,0,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,8.4-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,0,1,0,0,Manual,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Analog,Analog,1,1,1,1,0,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,NO,NO,,,,,,,,,,,,
Jeep Compass, 1.4 Petrol Sport DCT  ,2266000,4405,1818,1640,2636,208,1553,438,Petrol,Front,1368,"4 cyls, Turbocharged",163hp at 5500rpm,250Nm at 2500-4000rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,60,13.8,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,17-inches,225/60 R17,225/60 R17,Space-saver,Disc,Discs,2,1,1,1,0,,1,1,1,1,0,0,1,1,Manual,Rear,Rear,0,0,0,1,0,LED,LED,0,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,8.4-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,0,1,0,0,Manual,1,0,0,0,0,1,No,0,0,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,,,,,,,,,,,,
Jeep Compass, 2.0 Diesel Limited (O)  ,2999000,4405,1818,1640,2636,208,1671,438,Diesel,Front,1956,"4 cyls, Turbocharged",170hp at 3750rpm,350Nm at 1750-2500rpm,Front-Wheel Drive,Manual,6,NO,60,17.3,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,6,1,1,1,0,,1,1,1,1,1,1,1,1,Auto,Rear,Rear,0,0,0,1,0,LED,LED,1,Leather,1,1,1,1,1,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,0,0,0,0,1,0,Analog,Analog,1,1,1,1,0,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,NO,NO,,,,,,,,,,,,
Jeep Compass, 2.0 Diesel Limited (O) 4x4 AT  ,3401000,4405,1818,1640,2636,208,1778,438,Diesel,Front,1956,"4 cyls, Turbocharged",170hp at 3750rpm,350Nm at 1750-2500rpm,Four-Wheel Drive,Torque Converter Auto,9,YES,60,15.3,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,6,1,1,1,1,,1,1,1,1,1,1,1,1,Auto,Rear,Rear,0,0,0,1,0,LED,LED,1,Leather,1,1,1,1,1,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,1,1,0,0,1,0,Analog,Analog,1,1,1,1,1,0,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,10.3 s,6.05 s,8.36 s,,,,,,,,,
Jeep Compass, 2.0 Diesel Longitude (O)  ,2433000,4405,1818,1640,2636,208,1671,438,Diesel,Front,1956,"4 cyls, Turbocharged",170hp at 3750rpm,350Nm at 1750-2500rpm,Front-Wheel Drive,Manual,6,NO,60,17.3,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,17-inches,225/60 R17,225/60 R17,Space-saver,Disc,Discs,2,1,1,1,0,,1,1,1,1,1,0,1,1,Manual,Rear,Rear,0,0,0,1,0,LED,LED,1,Vinyl,0,0,1,0,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Analog,Analog,1,1,1,1,0,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,NO,NO,,,,,,,,,,,,
Jeep Compass, 2.0 Diesel Model S (O)  ,2905000,4405,1818,1640,2636,208,1671,438,Diesel,Front,1956,"4 cyls, Turbocharged",170hp at 3750rpm,350Nm at 1750-2500rpm,Front-Wheel Drive,Manual,6,NO,60,17.3,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,6,1,1,1,0,,1,1,1,1,1,1,1,1,Auto,Rear,360-degree,1,0,0,1,1,LED,LED,1,Leather,1,1,1,1,1,1,1,0,1,Front,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,1,10.1-inch Touchscreen,1,1,Onboard,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,0,0,0,0,1,0,Digital,Digital,1,1,1,1,0,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,NO,NO,,,,,,,,,,,,
Jeep Compass, 2.0 Diesel Model S (O) 4x4 AT  ,3353000,4405,1818,1640,2636,208,1778,438,Diesel,Front,1956,"4 cyls, Turbocharged",170hp at 3750rpm,350Nm at 1750-2500rpm,Four-Wheel Drive,Torque Converter Auto,9,YES,60,15.3,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,6,1,1,1,1,,1,1,1,1,1,1,1,1,Auto,Rear,360-degree,1,0,0,1,1,LED,LED,1,Leather,1,1,1,1,1,1,1,0,1,Front,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,1,10.1-inch Touchscreen,1,1,Onboard,1,0,0,0,Front and Rear,Front,Front,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,0,1,1,0,0,1,0,Digital,Digital,1,1,1,1,1,0,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,YES,NO,10.3 s,6.05 s,8.36 s,,,,,,,,,
Jeep Compass, 2.0 Diesel Sport  ,2221000,4405,1818,1640,2636,208,1671,438,Diesel,Front,1956,"4 cyls, Turbocharged",170hp at 3750rpm,350Nm at 1750-2500rpm,Front-Wheel Drive,Manual,6,NO,60,17.3,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,17-inches,225/60 R17,225/60 R17,Space-saver,Disc,Discs,2,1,1,1,0,,1,1,1,1,0,0,1,1,Manual,Rear,Rear,0,0,0,1,0,LED,LED,0,Fabric,0,0,1,0,0,0,0,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,8.4-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,Front,Front,1,0,1,0,0,Manual,1,0,0,0,0,1,No,0,0,0,0,0,1,0,Analog,Analog,1,1,1,1,0,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,NO,NO,NO,,,,,,,,,,,,
